razao_social;cnpj;placa;servico_regular;servico_fretado;servico_semiurbano;data_validade_csv;validade_seguro
COOPTUR COOPERATIVA DE TRANSPORTES EM GERAL TURISTICOS & SERVICOS;23.841.160/0001-69;QUN-7886;Não;Sim;Não;10/05/2020;09/10/2020
COOPTUR COOPERATIVA DE TRANSPORTES EM GERAL TURISTICOS & SERVICOS;23.841.160/0001-69;QWU-3089;Não;Sim;Não;12/11/2020;31/01/2020
COOPVANS COOPERATIVA E LOCADORA DOS PROPRIETARIOS DE VANS E VEICULOS DO RN;15.209.167/0001-34;FJZ-5029;Não;Sim;Não;05/02/2020;31/01/2020
COOPVANS COOPERATIVA E LOCADORA DOS PROPRIETARIOS DE VANS E VEICULOS DO RN;15.209.167/0001-34;KRS-4815;Não;Sim;Não;22/10/2020;21/10/2020
COOPVANS COOPERATIVA E LOCADORA DOS PROPRIETARIOS DE VANS E VEICULOS DO RN;15.209.167/0001-34;NNU-8567;Não;Sim;Não;26/03/2020;28/02/2020
COOPVANS COOPERATIVA E LOCADORA DOS PROPRIETARIOS DE VANS E VEICULOS DO RN;15.209.167/0001-34;OFZ-8J98;Não;Sim;Não;21/01/2020;21/01/2020
COOPVANS COOPERATIVA E LOCADORA DOS PROPRIETARIOS DE VANS E VEICULOS DO RN;15.209.167/0001-34;OWA-6640;Não;Sim;Não;23/07/2020;23/10/2020
COOPVANS COOPERATIVA E LOCADORA DOS PROPRIETARIOS DE VANS E VEICULOS DO RN;15.209.167/0001-34;OWA-9740;Não;Sim;Não;22/01/2020;01/10/2020
COOPVANS COOPERATIVA E LOCADORA DOS PROPRIETARIOS DE VANS E VEICULOS DO RN;15.209.167/0001-34;OWE-8620;Não;Sim;Não;21/05/2020;01/10/2020
COOPVANS COOPERATIVA E LOCADORA DOS PROPRIETARIOS DE VANS E VEICULOS DO RN;15.209.167/0001-34;OWG-8121;Não;Sim;Não;01/10/2020;01/10/2020
COOPVANS COOPERATIVA E LOCADORA DOS PROPRIETARIOS DE VANS E VEICULOS DO RN;15.209.167/0001-34;OWG-8B21;Não;Sim;Não;01/10/2020;01/10/2020
COOPVANS COOPERATIVA E LOCADORA DOS PROPRIETARIOS DE VANS E VEICULOS DO RN;15.209.167/0001-34;PEB-9I98;Não;Sim;Não;17/06/2020;11/06/2020
COOPVANS COOPERATIVA E LOCADORA DOS PROPRIETARIOS DE VANS E VEICULOS DO RN;15.209.167/0001-34;QGM-3548;Não;Sim;Não;05/02/2020;10/10/2020
COOTACOM - COOPERATIVA DE TRANSPORTADORES E AMIGOS DO COLEGIO MILITAR LTDA;06.041.638/0001-57;BYH-4F20;Não;Sim;Não;21/06/2020;06/06/2020
COOTACOM - COOPERATIVA DE TRANSPORTADORES E AMIGOS DO COLEGIO MILITAR LTDA;06.041.638/0001-57;ENI-9H74;Não;Sim;Não;10/04/2020;06/06/2020
COOTACOM - COOPERATIVA DE TRANSPORTADORES E AMIGOS DO COLEGIO MILITAR LTDA;06.041.638/0001-57;EXR-5I78;Não;Sim;Não;26/06/2020;26/06/2020
COOTACOM - COOPERATIVA DE TRANSPORTADORES E AMIGOS DO COLEGIO MILITAR LTDA;06.041.638/0001-57;KWR-9780;Não;Sim;Não;09/09/2020;15/07/2020
COOTACOM - COOPERATIVA DE TRANSPORTADORES E AMIGOS DO COLEGIO MILITAR LTDA;06.041.638/0001-57;KWU-9464;Não;Sim;Não;11/10/2020;13/09/2020
COOTACOM - COOPERATIVA DE TRANSPORTADORES E AMIGOS DO COLEGIO MILITAR LTDA;06.041.638/0001-57;KXS-7287;Não;Sim;Não;25/07/2020;06/06/2020
COOTACOM - COOPERATIVA DE TRANSPORTADORES E AMIGOS DO COLEGIO MILITAR LTDA;06.041.638/0001-57;KXZ-9624;Não;Sim;Não;16/02/2020;25/06/2020
COOTACOM - COOPERATIVA DE TRANSPORTADORES E AMIGOS DO COLEGIO MILITAR LTDA;06.041.638/0001-57;KYC-9113;Não;Sim;Não;12/03/2020;06/06/2020
COOTACOM - COOPERATIVA DE TRANSPORTADORES E AMIGOS DO COLEGIO MILITAR LTDA;06.041.638/0001-57;LLU-7409;Não;Sim;Não;24/07/2020;29/07/2020
COOTACOM - COOPERATIVA DE TRANSPORTADORES E AMIGOS DO COLEGIO MILITAR LTDA;06.041.638/0001-57;LMQ-9G16;Não;Sim;Não;18/02/2020;06/06/2020
COOTACOM - COOPERATIVA DE TRANSPORTADORES E AMIGOS DO COLEGIO MILITAR LTDA;06.041.638/0001-57;LMX-1J25;Não;Sim;Não;14/08/2020;08/08/2020
COOTACOM - COOPERATIVA DE TRANSPORTADORES E AMIGOS DO COLEGIO MILITAR LTDA;06.041.638/0001-57;LMY-9D03;Não;Sim;Não;02/08/2020;12/08/2020
COOTACOM - COOPERATIVA DE TRANSPORTADORES E AMIGOS DO COLEGIO MILITAR LTDA;06.041.638/0001-57;LRU-5331;Não;Sim;Não;18/04/2020;06/06/2020
COOTACOM - COOPERATIVA DE TRANSPORTADORES E AMIGOS DO COLEGIO MILITAR LTDA;06.041.638/0001-57;LSK-8B69;Não;Sim;Não;31/01/2020;01/08/2020
COOTACOM - COOPERATIVA DE TRANSPORTADORES E AMIGOS DO COLEGIO MILITAR LTDA;06.041.638/0001-57;LTI-6678;Não;Sim;Não;24/07/2020;06/06/2020
COOTACOM - COOPERATIVA DE TRANSPORTADORES E AMIGOS DO COLEGIO MILITAR LTDA;06.041.638/0001-57;PWB-1017;Não;Sim;Não;02/09/2020;06/06/2020
CORBELINI TURISMO LTDA;01.961.489/0001-20;IIY-3373;Não;Sim;Não;01/02/2020;07/12/2019
CORBELINI TURISMO LTDA;01.961.489/0001-20;ILS-7296;Não;Sim;Não;22/05/2020;07/12/2019
CORCOVADO TRANSPORTADORA TURÍSTICA LTDA.;45.356.532/0001-02;ECT-1080;Não;Sim;Não;21/01/2020;25/12/2019
CORCOVADO TRANSPORTADORA TURÍSTICA LTDA.;45.356.532/0001-02;ECT-1081;Não;Sim;Não;16/01/2020;25/12/2019
CORCOVADO TRANSPORTADORA TURÍSTICA LTDA.;45.356.532/0001-02;ECT-7745;Não;Sim;Não;08/01/2020;25/12/2019
CORCOVADO TRANSPORTADORA TURÍSTICA LTDA.;45.356.532/0001-02;EFW-9193;Não;Sim;Não;16/01/2020;25/12/2019
CORCOVADO TRANSPORTADORA TURÍSTICA LTDA.;45.356.532/0001-02;EFW-9194;Não;Sim;Não;08/01/2020;25/12/2019
CORCOVADO TRANSPORTADORA TURÍSTICA LTDA.;45.356.532/0001-02;ELQ-7418;Não;Sim;Não;16/01/2020;25/12/2019
CORCOVADO TRANSPORTADORA TURÍSTICA LTDA.;45.356.532/0001-02;ELQ-7419;Não;Sim;Não;17/01/2020;25/12/2019
CORCOVADO TRANSPORTADORA TURÍSTICA LTDA.;45.356.532/0001-02;ELQ-7421;Não;Sim;Não;17/01/2020;25/12/2019
CORDEIRO & SOUSA TRANSPORTE E TURISMO LTDA - ME;12.496.526/0001-93;NWD-7373;Não;Sim;Não;26/11/2020;04/10/2020
CORDEIRO & SOUSA TRANSPORTE E TURISMO LTDA - ME;12.496.526/0001-93;PRL-8549;Não;Sim;Não;26/06/2020;04/10/2020
CORDEIRO & SOUSA TRANSPORTE E TURISMO LTDA - ME;12.496.526/0001-93;PRT-6836;Não;Sim;Não;07/12/2019;04/10/2020
CORDIAL TRANSPORTES E TURISMO LTDA;03.033.573/0001-00;OCW-9505;Não;Sim;Não;17/07/2020;15/06/2020
CORDIAL TRANSPORTES E TURISMO LTDA;03.033.573/0001-00;OCW-9506;Não;Sim;Não;18/09/2020;15/06/2020
CORDIAL TRANSPORTES E TURISMO LTDA;03.033.573/0001-00;OCW-9F07;Não;Sim;Não;11/09/2020;15/06/2020
CORDIAL TRANSPORTES E TURISMO LTDA;03.033.573/0001-00;PPH-5469;Não;Sim;Não;27/12/2019;15/06/2020
CORREIA & SA VIAGENS E TURISMO LTDA;31.384.862/0001-99;QSH-8440;Não;Sim;Não;30/11/2019;19/12/2019
CORTEGOZO FRETAMENTO E TURISMO LTDA;17.409.719/0001-83;BRS-4143;Não;Sim;Não;08/04/2020;22/05/2020
CORTEGOZO FRETAMENTO E TURISMO LTDA;17.409.719/0001-83;FKD-2017;Não;Sim;Não;09/09/2020;02/09/2020
CORTEZ TRANSPORTES E TURISMO EIRELI;24.921.224/0001-02;LOU-0079;Não;Sim;Não;28/02/2020;30/07/2020
CORUMBAU BRASIL TRANSPORTES TURÍSTICOS LTDA - EPP;05.409.468/0001-58;NTU-6989;Não;Sim;Não;14/10/2020;17/06/2020
CORUMBAU BRASIL TRANSPORTES TURÍSTICOS LTDA - EPP;05.409.468/0001-58;NTW-4458;Não;Sim;Não;01/08/2020;17/06/2020
CORUMBAU BRASIL TRANSPORTES TURÍSTICOS LTDA - EPP;05.409.468/0001-58;NZU-6505;Não;Sim;Não;06/05/2020;17/06/2020
CORUMBAU BRASIL TRANSPORTES TURÍSTICOS LTDA - EPP;05.409.468/0001-58;OUL-1327;Não;Sim;Não;06/05/2020;17/06/2020
CORUMBAU BRASIL TRANSPORTES TURÍSTICOS LTDA - EPP;05.409.468/0001-58;OUL-4785;Não;Sim;Não;08/03/2020;17/06/2020
CORUMBAU BRASIL TRANSPORTES TURÍSTICOS LTDA - EPP;05.409.468/0001-58;PJF-2080;Não;Sim;Não;11/03/2020;17/06/2020
CORUMBAU BRASIL TRANSPORTES TURÍSTICOS LTDA - EPP;05.409.468/0001-58;PJK-6683;Não;Sim;Não;12/08/2020;17/06/2020
COSTA BEBER TRANSPORTES LTDA - EPP;09.188.235/0001-23;ATK-6536;Não;Sim;Não;12/08/2020;24/03/2020
COSTA BEBER TRANSPORTES LTDA - EPP;09.188.235/0001-23;ELW-0H20;Não;Sim;Não;11/02/2020;19/01/2020
COSTA BEBER TRANSPORTES LTDA - EPP;09.188.235/0001-23;IPF-7695;Não;Sim;Não;19/03/2020;12/03/2020
COSTA DO MAR VIAGENS, TURISMO E SERVIÇOS LTDA;04.715.774/0001-50;MYT-8444;Não;Sim;Não;10/12/2019;12/11/2020
COSTA DO MAR VIAGENS, TURISMO E SERVIÇOS LTDA;04.715.774/0001-50;NNP-1625;Não;Sim;Não;28/10/2020;12/11/2020
COSTA DO MAR VIAGENS, TURISMO E SERVIÇOS LTDA;04.715.774/0001-50;QGT-0204;Não;Sim;Não;11/06/2020;29/06/2020
COSTA E LARA TRANSPORTES LTDA;27.026.513/0001-28;HMD-4940;Não;Sim;Não;06/09/2020;23/02/2020
COSTA E LARA TRANSPORTES LTDA;27.026.513/0001-28;KIA-9527;Não;Sim;Não;10/12/2019;23/05/2020
COSTA E MIKOSKI TRANSPORTES LTDA - ME;09.013.984/0001-10;BTD-6771;Não;Sim;Não;19/07/2020;16/09/2020
COSTA E SILVA TRANSPORTE E TURISMO LTDA;24.377.625/0001-35;AJB-1268;Não;Sim;Não;18/03/2020;16/09/2020
COSTA E SILVA TRANSPORTE E TURISMO LTDA;24.377.625/0001-35;EJW-5870;Não;Sim;Não;22/10/2020;11/10/2020
COSTA RIO TURISMO E FRETAMENTO LTDA - EPP;01.604.829/0001-66;OCL-8437;Não;Sim;Não;06/12/2019;06/12/2019
COSTA RIO TURISMO E FRETAMENTO LTDA - EPP;01.604.829/0001-66;OCN-1867;Não;Sim;Não;16/04/2020;06/12/2019
COSTA RIO TURISMO E FRETAMENTO LTDA - EPP;01.604.829/0001-66;OCT-4197;Não;Sim;Não;11/04/2020;06/12/2019
COSTA SUL - AGÊNCIA DE VIAGENS E TURISMO LTDA EPP;03.966.558/0001-14;MLO-1321;Não;Sim;Não;18/02/2020;04/09/2020
COSTA SUL - AGÊNCIA DE VIAGENS E TURISMO LTDA EPP;03.966.558/0001-14;MMK-2817;Não;Sim;Não;19/08/2020;04/09/2020
COSTA SUL - AGÊNCIA DE VIAGENS E TURISMO LTDA EPP;03.966.558/0001-14;QIO-1325;Não;Sim;Não;09/09/2020;04/09/2020
COSTA SUL EIRELI;24.732.689/0001-07;AHQ-1233;Não;Sim;Não;04/06/2020;04/06/2020
COSTA SUL EIRELI;24.732.689/0001-07;BTO-7516;Não;Sim;Não;05/05/2020;11/10/2020
COSTA SUL EIRELI;24.732.689/0001-07;KOL-8841;Não;Sim;Não;09/04/2020;11/10/2020
COSTA SUL EIRELI;24.732.689/0001-07;KTH-2592;Não;Sim;Não;05/05/2020;19/11/2020
COSTA SUL TRANSPORTES E TURISMO LTDA;01.817.531/0001-34;KVP-9298;Não;Sim;Não;08/05/2020;19/11/2020
COSTA SUL TRANSPORTES E TURISMO LTDA;01.817.531/0001-34;ODP-4A85;Não;Sim;Não;12/11/2020;19/11/2020
COSTA SUL TRANSPORTES E TURISMO LTDA;01.817.531/0001-34;OYD-3C38;Não;Sim;Não;29/01/2020;19/11/2020
COSTA SUL TRANSPORTES E TURISMO LTDA;01.817.531/0001-34;PPX-5399;Não;Sim;Não;20/03/2020;19/11/2020
COSTA SUL TRANSPORTES E TURISMO LTDA;01.817.531/0001-34;PPX-5400;Não;Sim;Não;24/12/2019;19/11/2020
COSTA TRANSPORTES EIRELI - ME;13.730.880/0001-01;CRY-6B88;Não;Sim;Não;20/02/2020;20/12/2019
COSTA TRANSPORTES EIRELI - ME;13.730.880/0001-01;LKT-1267;Não;Sim;Não;01/03/2020;11/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;KRK-8464;Não;Sim;Não;26/06/2020;21/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;KWY-7086;Não;Sim;Não;03/04/2020;21/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;KWY-7088;Não;Sim;Não;03/04/2020;21/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;KWY-7091;Não;Sim;Não;05/04/2020;21/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;KXI-5869;Não;Sim;Não;04/04/2020;21/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;LMD-6521;Não;Sim;Não;04/07/2020;21/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;LMH-5389;Não;Sim;Não;04/06/2020;21/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;LMO-5D86;Não;Sim;Não;29/07/2020;21/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;LMO-5J43;Não;Sim;Não;29/07/2020;21/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;LMO-7A15;Não;Sim;Não;26/08/2020;21/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;LQY-5284;Não;Sim;Não;04/06/2020;21/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;LRJ-2D81;Não;Sim;Não;29/07/2020;21/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;LSI-1906;Não;Sim;Não;29/07/2020;21/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;LSI-1909;Não;Sim;Não;14/08/2020;21/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;LSI-1911;Não;Sim;Não;04/04/2020;21/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;LTH-8259;Não;Sim;Não;14/08/2020;21/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;LTH-8260;Não;Sim;Não;01/08/2020;21/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;LTH-8261;Não;Sim;Não;05/08/2020;21/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;LTH-8262;Não;Sim;Não;05/08/2020;21/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;LTH-8263;Não;Sim;Não;14/08/2020;21/04/2020
COSTA VERDE TRANSPORTES LTDA;02.027.952/0001-24;LTI-4640;Não;Sim;Não;29/07/2020;21/04/2020
COSTAZUL TURISMO E RECEPTIVO LTDA - ME;08.568.622/0001-22;NLX-5252;Não;Sim;Não;19/01/2020;01/02/2020
COSTAZUL TURISMO E RECEPTIVO LTDA - ME;08.568.622/0001-22;NLX-9292;Não;Sim;Não;23/01/2020;01/02/2020
COSTAZUL TURISMO E RECEPTIVO LTDA - ME;08.568.622/0001-22;NLY-0022;Não;Sim;Não;04/02/2020;01/02/2020
COSTAZUL TURISMO E RECEPTIVO LTDA - ME;08.568.622/0001-22;OHG-4388;Não;Sim;Não;17/12/2019;01/02/2020
COSTAZUL TURISMO E RECEPTIVO LTDA - ME;08.568.622/0001-22;OHI-5606;Não;Sim;Não;23/01/2020;01/02/2020
COSTAZUL TURISMO E RECEPTIVO LTDA - ME;08.568.622/0001-22;OHI-5736;Não;Sim;Não;25/01/2020;01/02/2020
COSTAZUL TURISMO E RECEPTIVO LTDA - ME;08.568.622/0001-22;ORJ-4390;Não;Sim;Não;22/12/2019;01/02/2020
COSTAZUL TURISMO E RECEPTIVO LTDA - ME;08.568.622/0001-22;ORJ-7802;Não;Sim;Não;17/01/2020;01/02/2020
COSTAZUL TURISMO E RECEPTIVO LTDA - ME;08.568.622/0001-22;ORJ-8776;Não;Sim;Não;27/02/2020;01/02/2020
COSTAZUL TURISMO E RECEPTIVO LTDA - ME;08.568.622/0001-22;ORJ-8786;Não;Sim;Não;13/03/2020;01/02/2020
COSTAZUL TURISMO E RECEPTIVO LTDA - ME;08.568.622/0001-22;ORL-3559;Não;Sim;Não;13/12/2019;01/02/2020
COSTAZUL TURISMO E RECEPTIVO LTDA - ME;08.568.622/0001-22;ORM-2664;Não;Sim;Não;24/05/2020;01/02/2020
COSTAZUL TURISMO E RECEPTIVO LTDA - ME;08.568.622/0001-22;ORM-2694;Não;Sim;Não;07/03/2020;01/02/2020
COSTAZUL TURISMO E RECEPTIVO LTDA - ME;08.568.622/0001-22;QLA-1382;Não;Sim;Não;28/01/2020;01/02/2020
COSTAZUL TURISMO E RECEPTIVO LTDA - ME;08.568.622/0001-22;QLD-8569;Não;Sim;Não;08/05/2020;01/02/2020
COSTAZUL TURISMO E RECEPTIVO LTDA - ME;08.568.622/0001-22;QLE-3427;Não;Sim;Não;07/06/2020;01/02/2020
COSTAZUL TURISMO E RECEPTIVO LTDA - ME;08.568.622/0001-22;QLE-3457;Não;Sim;Não;25/01/2020;01/02/2020
COSTAZUL TURISMO E RECEPTIVO LTDA - ME;08.568.622/0001-22;QLH-3267;Não;Sim;Não;16/01/2020;01/02/2020
COSTAZUL TURISMO E RECEPTIVO LTDA - ME;08.568.622/0001-22;QLH-6810;Não;Sim;Não;11/02/2020;01/02/2020
COUPTRANSPORTES LOCACAO E TURISMO EIRELI;10.402.587/0001-19;KYM-2420;Não;Sim;Não;01/08/2020;04/09/2020
COUPTRANSPORTES LOCACAO E TURISMO EIRELI;10.402.587/0001-19;OZI-3647;Não;Sim;Não;17/07/2020;04/09/2020
COUPTRANSPORTES LOCACAO E TURISMO EIRELI;10.402.587/0001-19;OZO-1093;Não;Sim;Não;26/07/2020;04/09/2020
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;DTB-6820;Não;Não;Sim;;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;KOP-9566;Não;Não;Sim;;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;KOQ-3970;Não;Não;Sim;11/10/2019;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;KOQ-5302;Não;Não;Sim;18/08/2018;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;KOQ-7335;Não;Não;Sim;11/04/2020;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;KOX-7289;Não;Não;Sim;16/08/2018;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;KVM-4852;Não;Não;Sim;;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;KVM-5158;Não;Não;Sim;;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;KVM-5159;Não;Não;Sim;26/06/2019;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;KVM-5160;Não;Não;Sim;04/07/2019;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;KVP-6503;Não;Não;Sim;;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;KVY-4395;Não;Não;Sim;17/08/2018;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;KXO-5815;Não;Não;Sim;18/08/2018;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;KYW-2912;Não;Não;Sim;;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;LLM-5317;Não;Não;Sim;11/08/2018;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;LLN-4813;Não;Não;Sim;;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;LLN-5058;Não;Não;Sim;25/09/2019;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;LLP-9723;Não;Não;Sim;;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;LLQ-2010;Não;Não;Sim;;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;LPQ-7639;Não;Não;Sim;17/08/2018;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;LPU-7883;Não;Não;Sim;17/10/2019;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;LPU-9207;Não;Não;Sim;04/10/2019;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;LPW-9619;Não;Não;Sim;;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;LPW-9620;Não;Não;Sim;;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;LPX-3408;Não;Não;Sim;;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;LPX-3409;Não;Não;Sim;26/06/2019;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;LQE-6521;Não;Não;Sim;;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;LSR-4096;Não;Não;Sim;;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;LTJ-3837;Não;Não;Sim;;28/12/2019
COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA;08.836.842/0001-90;LUL-3806;Não;Não;Sim;;28/12/2019
CRB TRANSPORTES E TURISMO LTDA;17.409.588/0001-34;AZK-2492;Não;Sim;Não;10/09/2020;12/03/2020
CRESTANI & VENCATO TRANSPORTE DE PASSAGEIROS LTDA;92.455.765/0001-34;IUB-0791;Não;Sim;Não;03/12/2019;07/07/2020
CRESTANI & VENCATO TRANSPORTE DE PASSAGEIROS LTDA;92.455.765/0001-34;IVX-8473;Não;Sim;Não;20/02/2020;07/07/2020
CRESTANI & VENCATO TRANSPORTE DE PASSAGEIROS LTDA;92.455.765/0001-34;IYF-2297;Não;Sim;Não;06/11/2020;07/07/2020
CRIS TUR - FRETAMENTO E TURISMO EIRELI;18.551.053/0001-66;FCA-6633;Não;Sim;Não;03/10/2020;03/10/2020
CRIS TUR - FRETAMENTO E TURISMO EIRELI;18.551.053/0001-66;FKV-3867;Não;Sim;Não;01/10/2020;03/10/2020
CRIS VANS TRANSPORTES E TURISMO LTDA;26.893.606/0001-97;BTO-6606;Não;Sim;Não;07/11/2020;30/07/2020
CRIS VANS TRANSPORTES E TURISMO LTDA;26.893.606/0001-97;FZQ-3848;Não;Sim;Não;25/04/2020;03/12/2019
CRIS VANS TRANSPORTES E TURISMO LTDA;26.893.606/0001-97;GDW-8960;Não;Sim;Não;25/04/2020;03/12/2019
CRIS VANS TRANSPORTES E TURISMO LTDA;26.893.606/0001-97;GGA-5339;Não;Sim;Não;25/04/2020;03/12/2019
CRISOLIA TURISMO LTDA;86.627.098/0001-27;CNI-8935;Não;Sim;Não;15/08/2020;07/08/2020
CRISOLIA TURISMO LTDA;86.627.098/0001-27;EXP-0043;Não;Sim;Não;27/02/2020;31/08/2020
CRISOLIA TURISMO LTDA;86.627.098/0001-27;EXP-0047;Não;Sim;Não;28/02/2020;02/05/2020
CRISOLIA TURISMO LTDA;86.627.098/0001-27;EXP-0129;Não;Sim;Não;25/02/2020;16/08/2020
CRISOLIA TURISMO LTDA;86.627.098/0001-27;HGJ-1680;Não;Sim;Não;09/05/2020;08/12/2019
CRISP TRANSPORTES E TURISMO LTDA - ME;07.684.716/0001-02;ANU-6075;Não;Sim;Não;12/12/2019;08/12/2019
CRISP TRANSPORTES E TURISMO LTDA - ME;07.684.716/0001-02;API-9276;Não;Sim;Não;04/12/2019;08/12/2019
CRISP TRANSPORTES E TURISMO LTDA - ME;07.684.716/0001-02;ARU-9469;Não;Sim;Não;30/11/2019;08/12/2019
CRISP TRANSPORTES E TURISMO LTDA - ME;07.684.716/0001-02;KON-8265;Não;Sim;Não;07/12/2019;08/12/2019
CRISTAL AGENCIA DE VIAGENS LTDA ME;13.185.099/0001-95;AUZ-4791;Não;Sim;Não;21/02/2020;31/01/2020
CRISTAL AGENCIA DE VIAGENS LTDA ME;13.185.099/0001-95;AVR-4330;Não;Sim;Não;08/07/2020;31/01/2020
CRISTAL AGENCIA DE VIAGENS LTDA ME;13.185.099/0001-95;QAH-2073;Não;Sim;Não;25/06/2020;28/08/2020
CRISTAL RENT'A CAR LTDA ME;13.604.318/0001-23;DTA-6022;Não;Sim;Não;05/07/2020;08/07/2020
CRISTAL RENT'A CAR LTDA ME;13.604.318/0001-23;LQN-1724;Não;Sim;Não;09/01/2020;08/06/2020
CRISTAL RENT'A CAR LTDA ME;13.604.318/0001-23;LRM-9J40;Não;Sim;Não;29/06/2020;02/07/2020
CRISTAL RENT'A CAR LTDA ME;13.604.318/0001-23;LSG-0476;Não;Sim;Não;24/07/2020;17/04/2020
CRISTAL TURISMO E TRANSPORTES EIRELI;74.195.900/0001-78;MFS-3694;Não;Sim;Não;11/07/2020;08/12/2019
CRISTAL TURISMO E TRANSPORTES EIRELI;74.195.900/0001-78;MIK-9300;Não;Sim;Não;09/08/2020;08/12/2019
CRISTAL TURISMO E TRANSPORTES EIRELI;74.195.900/0001-78;MJP-9985;Não;Sim;Não;14/06/2020;08/12/2019
CRISTAL TURISMO E TRANSPORTES EIRELI;74.195.900/0001-78;NWN-6236;Não;Sim;Não;12/06/2020;08/12/2019
CRISTAL TURISMO EIRELI;28.502.304/0001-76;AUO-1152;Não;Sim;Não;27/02/2020;25/06/2020
CRISTAL TURISMO EIRELI;28.502.304/0001-76;EJW-9283;Não;Sim;Não;02/10/2020;03/10/2020
