razao_social;cnpj;placa;servico_regular;servico_fretado;servico_semiurbano;data_validade_csv;validade_seguro;ano_fabricacao;categoria_veiculo;nr_assentos_categoria;nr_assentos;acessibilidade;tipo_veiculo
RAPIDO TENDOLINI TRANSPORTE E TURISMO LTDA;01.968.004/0001-20;EGJ-3I32;Não;Sim;Não;2025-01-26;2024-12-21;2011;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
FERNANDO COSSULIN AMADEU - EIRELI - ME;09.293.354/0001-46;EGJ-3I59;Não;Sim;Não;2025-04-10;2025-01-14;2011;Executivo;51;51;Q - Cadeira de transbordo;Ônibus
CSL TURISMO E FRETAMENTO LTDA;28.685.553/0001-44;EGJ-3I95;Não;Sim;Não;2025-01-09;2024-12-21;2011;Executivo;47;47;H - Cadeira de transbordo.;Ônibus
EVOLUX TRANSPORTES E TURISMO EIRELI;35.462.060/0001-00;EGJ-3I96;Não;Sim;Não;2025-01-08;2025-06-11;2011;Executivo;60;60;H - Cadeira de transbordo.;Ônibus
ESTRELA C & L TUR LTDA;14.296.862/0001-18;EGJ-3J15;Não;Sim;Não;2025-06-07;2025-04-18;2011;Executivo;47;47;H - Cadeira de transbordo.;Ônibus
XAVIER & NEVES TRANSPORTES LTDA;07.574.686/0001-73;EGJ-3J16;Não;Sim;Não;2025-04-09;2025-01-19;2011;Executivo;47;47;H - Cadeira de transbordo.;Ônibus
JAIRO MILTON MAGALHAES CPF 26356970600 LTDA;86.490.513/0001-43;EGJ-3J25;Não;Sim;Não;2025-04-08;2024-12-28;2011;Leito;47;50;H - Cadeira de transbordo.;Ônibus
MATOS TUR TRANSPORTES RODOVIARIOS LTDA;17.616.736/0001-91;EGJ-3J26;Não;Sim;Não;2025-04-10;2025-03-02;2011;Executivo;47;47;Q - Cadeira de transbordo;Ônibus
COOPERATIVA DE TRANSPORTE DE PASSAGEIROS E CARGAS, TURISMO E ESCOLAR DE MINAS GERAIS LTDA;40.564.531/0001-21;EGJ-3J41;Não;Sim;Não;2025-03-18;2025-01-28;2011;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
EMPRESA LATTYFA TURISMO LTDA;04.899.622/0001-54;EGJ-4D12;Não;Sim;Não;2025-06-13;2025-05-24;2013;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
EMPRESA LATTYFA TURISMO LTDA;04.899.622/0001-54;EGJ-4D60;Não;Sim;Não;2025-05-09;2025-05-15;2013;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
SIMAO TUR LOCAÇÃO DE VEICULOS RODOVIARIOS E TRANSPORTES DE CARGAS LTDA-EPP;10.984.386/0001-77;EGJ-5449;Não;Sim;Não;2025-01-16;2024-12-22;2013;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
SANILTUR TURISMO E LOCACOES EIRELI;21.887.103/0001-95;EGJ-8D40;Não;Sim;Não;2025-02-14;2025-03-14;2008;Executivo;27;27;Q - Cadeira de transbordo;Ônibus
WILIAN PIRAN TRANSPORTES LTDA;36.620.226/0001-32;EGK-3I05;Não;Sim;Não;2025-04-30;2025-02-04;2010;Executivo;19;19;Q - Cadeira de transbordo;Micro-ônibus
TRANSPORTE PEDROSO EIRELI;20.226.325/0001-02;EGK-9275;Não;Sim;Não;2024-12-20;2025-06-21;2009;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
JOSE CARLOS OLIVEIRA TRANSPORTES BRASIL LTDA;04.351.650/0001-32;EGN-5887;Não;Sim;Não;2025-02-27;2025-01-04;2018;Executivo;19;19;H - Cadeira de transbordo.;Micro-ônibus
ZAPVAN LOCADORA DE VANS E ONIBUS LTDA  - ME;14.626.417/0001-79;EHT-2250;Não;Sim;Não;2025-05-11;2025-06-04;2002;Executivo;45;45;Q - Cadeira de transbordo;Ônibus
DEOCLECIO TRANSPORTE E TURISMO LTDA;20.169.352/0001-82;EHT-2C45;Não;Sim;Não;2025-03-10;2025-01-04;2002;Executivo;43;43;Q - Cadeira de transbordo;Ônibus
CARLOS ALBERTO CARVALHO JUNIOR LTDA;43.312.561/0001-39;EHT-2C60;Não;Sim;Não;2025-02-14;2025-02-21;2002;Executivo;43;43;Q - Cadeira de transbordo;Ônibus
VALVANS TRANSPORTES E LOCAÇÕES EIRELI ME;09.139.021/0001-67;EIQ-7880;Não;Sim;Não;2025-03-07;2024-12-30;2019;Convencional;19;19;Q - Cadeira de transbordo;Micro-ônibus
BRUNHARA TRANSPORTES LTDA;06.936.063/0001-30;EJJ-6E39;Não;Sim;Não;2025-01-31;2024-12-26;2019;Executivo;19;19;H - Cadeira de transbordo.;Micro-ônibus
COOPTAE-COOPERATIVA DOS MOTORISTAS DE TRANSPORTE ALTERNATIVO E ESCOLAR DE MURIAE LTDA;04.791.426/0001-61;EJL-7530;Não;Sim;Não;2025-04-26;2025-05-23;2011;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
COOPERATIVA TRANSPORTE ESCOLAR, TURISMO, FRETAMENTO, LOCACAO DE VEICULOS, CAMINHOES E MAQUINAS DE GOIAS;48.044.842/0001-71;EJQ-0A59;Não;Sim;Não;2025-06-26;2025-05-23;2019;Executivo;21;21;Sem Acessibilidade;Micro-ônibus
MTUR TRANSPORTES LTDA;24.817.407/0001-74;EJV-1H91;Não;Sim;Não;2025-05-22;2025-05-06;2010;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
ZEM RIBEIRO TRANSPORTES LTDA;47.805.316/0001-14;EJV-1J37;Não;Sim;Não;2025-07-03;2025-06-06;2011;Executivo;48;48;D - Passagem em nível da plataforma de embarque / desembarque do terminal (ou ponto de parada) para o salão de passageiros.;Ônibus
P.R.M.- TURISMO LTDA;53.579.983/0001-29;EJV-5I16;Não;Sim;Não;2025-04-09;2025-01-16;2012;Executivo;50;50;H - Cadeira de transbordo.;Ônibus
MAX TOUR FRETAMENTOS E TURISMO LTDA EPP;65.963.142/0001-08;EJV-8118;Não;Sim;Não;2025-07-05;2024-12-29;2010;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
MAX TOUR FRETAMENTOS E TURISMO LTDA EPP;65.963.142/0001-08;EJV-8B11;Não;Sim;Não;2025-05-15;2024-12-29;2010;Executivo;46;46;P - Instalação de plataforma elevatória veicular ;Ônibus
TATA-JARA TRANSPORTE RODOVIARIO E TURISMO EIRELI;03.826.287/0001-00;EJW-0204;Não;Sim;Não;2025-02-08;2025-01-02;2010;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
AMERICA POMPEIA VIAGENS E TURISMO LTDA;17.817.851/0001-24;EJW-1I98;Não;Sim;Não;2025-01-18;2025-01-19;2010;Executivo;47;47;H - Cadeira de transbordo.;Ônibus
ESX TRANSPORTE E TURISMO LTDA;01.211.210/0001-91;EJW-4175;Não;Sim;Não;2025-02-07;2025-04-13;2010;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
EMPREENDIMENTOS G-QUATRO TURISMO E TRANSPORTE LTDA;07.961.187/0001-39;EJW-4B62;Não;Sim;Não;2025-03-18;2025-01-11;2010;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
EXPRESSO OURO 52 TURISMO LTDA;50.033.871/0001-80;EJW-4B73;Não;Sim;Não;2025-01-04;2025-01-02;2010;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
JD LOCADORA TRANSPORTES E TURISMO LTDA  - ME;09.051.512/0001-51;EJW-5F97;Não;Sim;Não;2025-07-05;2025-03-12;2013;Executivo;31;31;H - Cadeira de transbordo.;Ônibus
TRANSLUZ FRETAMENTO TRANSPORTE E TURISMO LTDA;11.786.330/0001-70;EJW-7307;Não;Sim;Não;2025-03-27;2025-01-08;2011;Executivo;30;30;H - Cadeira de transbordo.;Ônibus
LUCIANO APARECIDO CORREIA DA ROCHA TRANSPORTES EIRELI;12.777.190/0001-37;EJW-7H13;Não;Sim;Não;2025-04-23;2025-04-24;2013;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
COOPERSIND COOPERATIVA DE TRANSPORTES DE CARGAS, PASSAGEIROS, ESCOLAR E TURISMO DE MINAS GERAIS;20.375.162/0001-11;EJW-7J40;Não;Sim;Não;2025-05-13;2025-05-31;2012;Executivo;20;20;Sem Acessibilidade;Micro-ônibus
FERREIRA TRANSPORTE ESCOLAR E TURISMO LTDA.;21.859.995/0001-10;EJW-7J55;Não;Sim;Não;2025-03-28;2025-03-23;2012;Executivo;18;18;Sem Acessibilidade;Micro-ônibus
AUTO VIAÇÃO JAUENSE LTDA;68.944.610/0001-87;EJW-9B10;Não;Sim;Não;2025-07-05;2025-01-13;2011;Executivo;43;43;P - Instalação de plataforma elevatória veicular ;Ônibus
RADIAL TRANSPORTE DE VEICULOS E CARGAS LTDA. - EPP;07.249.276/0001-57;EJW-9F64;Não;Sim;Não;2025-01-18;2025-01-08;2011;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
NOVO TUR TRANSPORTADORA TURISTICA LTDA;12.671.960/0001-62;EJW-9I65;Não;Sim;Não;2025-06-03;2024-12-30;2012;Executivo;38;38;H - Cadeira de transbordo.;Ônibus
SIDCAR TRANSPORTES LTDA;08.724.761/0001-06;EJW-9J60;Não;Sim;Não;2025-06-05;2025-06-07;2012;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
N. A. LOCADORA DE VEICULOS LTDA;24.868.406/0001-59;EJX-0G46;Não;Sim;Não;2025-06-04;2025-01-17;2013;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
FAUSTAO LOCADORA DE VEICULOS E TURISMO LTDA;14.392.248/0001-50;EJX-0G58;Não;Sim;Não;2025-01-04;2025-01-02;2013;Executivo;46;46;D - Passagem em nível da plataforma de embarque / desembarque do terminal (ou ponto de parada) para o salão de passageiros.;Ônibus
A M. PORTO LOCACAO E TRANSPORTES LTDA;15.287.403/0001-30;EJX-0J61;Não;Sim;Não;2025-06-18;2025-01-02;2023;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
UNIAO DE TRANSPORTES TUPANTUR TURISMO LTDA;01.817.461/0001-14;EJX-1C10;Não;Sim;Não;2025-02-19;2025-01-05;2012;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
TRANSLIFE TRANSPORTADORA TURISTICA LTDA;07.121.410/0001-30;EJX-7C52;Não;Sim;Não;2025-05-27;2024-12-25;2011;Executivo;42;42;H - Cadeira de transbordo.;Ônibus
BRUNO TORRES LOCADORA E TURISMO EIRELI;27.066.110/0001-02;EJX-7C75;Não;Sim;Não;2025-01-08;2024-12-29;2011;Executivo;51;51;H - Cadeira de transbordo.;Ônibus
TRANSLIFE TRANSPORTADORA TURISTICA LTDA;07.121.410/0001-30;EJX-7C82;Não;Sim;Não;2025-06-14;2024-12-25;2011;Executivo;47;47;H - Cadeira de transbordo.;Ônibus
VIAÇÃO ARAÚJO LTDA;59.233.700/0001-79;EJX-7C83;Não;Sim;Não;2025-05-21;2024-12-28;2011;Executivo;42;42;H - Cadeira de transbordo.;Ônibus
ALMAR TRANSPORTES E LOCADORA DE VEICULOS LTDA;11.629.906/0001-96;EJX-7C91;Não;Sim;Não;2025-05-08;2024-12-27;2011;Executivo;47;47;H - Cadeira de transbordo.;Ônibus
SL TRANSPORTES E TURISMO LTDA;09.223.426/0001-89;EJY-1221;Não;Sim;Não;2025-02-05;2025-03-01;2011;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
DANIEL AGUIAR LTDA;12.902.492/0001-90;EJY-1F07;Não;Sim;Não;2025-05-17;2025-05-17;2010;Executivo;50;50;Q - Cadeira de transbordo;Ônibus
LAU PRESS LOCADORA DE VEICULOS LTDA-ME;02.627.259/0001-92;EJZ-4412;Não;Sim;Não;2025-04-10;2025-04-02;2018;Executivo;19;19;Sem Acessibilidade;Micro-ônibus
R.Z. DE ALMEIDA TRANSPORTES EIRELI;21.419.217/0001-00;EJZ-5707;Não;Sim;Não;2025-06-22;2025-05-22;2011;Executivo;19;19;Sem Acessibilidade;Micro-ônibus
PIANOVSKI TRANSPORTES E TURISMO LTDA;19.238.704/0001-25;EJZ-6H53;Não;Sim;Não;2025-05-21;2024-12-21;2012;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
BL TUR LTDA;39.371.267/0001-20;EJZ-7I07;Não;Sim;Não;2025-07-02;2025-07-03;2010;Executivo;44;44;H - Cadeira de transbordo.;Ônibus
VALDINEY ARAUJO DOS SANTOS EIRELI - ME;22.297.185/0001-80;EJZ-7I08;Não;Sim;Não;2025-06-26;2025-01-01;2010;Executivo;44;44;D - Passagem em nível da plataforma de embarque / desembarque do terminal (ou ponto de parada) para o salão de passageiros.;Ônibus
EMMNUEL TRANSPORTES DE PASSAGEIROS E TURISMO LTDA;18.779.557/0001-38;EJZ-7I09;Não;Sim;Não;2025-02-27;2025-01-27;2010;Executivo;47;47;H - Cadeira de transbordo.;Ônibus
EXPRESSO PINGUIM TRANSPORTES LTDA;40.477.044/0001-21;EJZ-7I14;Não;Sim;Não;2025-01-02;2025-04-17;2010;Executivo;51;51;H - Cadeira de transbordo.;Ônibus
MARINS VIAGENS E TURISMO LTDA;52.904.135/0001-85;EJZ-7I15;Não;Sim;Não;2025-02-07;2025-01-05;2010;Executivo;44;44;H - Cadeira de transbordo.;Ônibus
MARINS VIAGENS E TURISMO LTDA;52.904.135/0001-85;EJZ-7I16;Não;Sim;Não;2025-01-05;2025-01-05;2010;Executivo;44;44;H - Cadeira de transbordo.;Ônibus
ASSIS TRANSPORTES LTDA;54.483.406/0001-00;EJZ-8C64;Não;Sim;Não;2025-07-01;2025-06-07;2009;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
ALFA TRANSPORTE E TURISMO LTDA;18.882.161/0001-11;EJZ-9G86;Não;Sim;Não;2025-03-12;2025-05-08;2010;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
N. A. LOCADORA DE VEICULOS LTDA;24.868.406/0001-59;EKC-6A49;Não;Sim;Não;2025-04-23;2025-02-16;2020;Executivo;63;63;H - Cadeira de transbordo.;Ônibus
ESTT BRASIL TRANSPORTES E TURISMO S/A;03.107.256/0002-71;EKH-0I44;Não;Sim;Não;2025-01-08;2024-12-20;2010;Executivo;48;48;H - Cadeira de transbordo.;Ônibus
SBS TRANSPORTES E LOGISTICA LTDA;11.434.870/0001-95;EKH-7C36;Não;Sim;Não;2025-06-03;2025-01-08;2012;Executivo;56;56;H - Cadeira de transbordo.;Ônibus
WAGNER TURISMO LTDA;22.963.638/0001-60;EKH-9449;Não;Sim;Não;2025-06-06;2025-06-12;2011;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
TRANSPORTADORA FLUGEL LTDA;01.897.898/0001-05;EKH-9572;Não;Sim;Não;2025-04-10;2025-05-12;2010;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
LETUR TURISMO LTDA;27.146.517/0001-40;EKH-9H17;Não;Sim;Não;2025-04-11;2025-01-11;2011;Executivo;46;46;E - Dispositivo de acesso instalado no veículo, interligando este com a plataforma.;Ônibus
P H REIS MARTINS LTDA;39.403.188/0001-54;ELA-4G20;Não;Sim;Não;2025-04-23;2024-12-22;2019;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
ROTA SUL LOCADORA DE VEICULOS LTDA;07.641.606/0001-55;ELB-1939;Não;Sim;Não;2025-04-16;2025-01-06;2019;Executivo;19;19;H - Cadeira de transbordo.;Micro-ônibus
TRANSLOVERA TRANSPORTE E TURISMO LTDA;80.445.505/0001-07;ELB-6A23;Não;Sim;Não;2025-05-28;2025-02-01;2022;Executivo;16;16;Q - Cadeira de transbordo;Micro-ônibus
MGL TURISMO LTDA;24.138.564/0001-53;ELH-0423;Não;Sim;Não;2025-04-12;2025-01-16;2010;Executivo;33;33;Q - Cadeira de transbordo;Ônibus
PARRELA TUR LOCACOES LTDA;10.503.283/0001-48;ELH-2J27;Não;Sim;Não;2025-06-17;2025-04-21;2021;Executivo;20;20;Sem Acessibilidade;Micro-ônibus
TRANS NETTI-TRANSPORTE E LOCACAO LTDA;04.361.392/0001-75;ELJ-8C69;Não;Sim;Não;2025-03-15;2024-12-28;2020;Executivo;33;33;H - Cadeira de transbordo.;Ônibus
RB TRANSPORTE E TURISMO LOCADORA DE VEICULOS LTDA;12.607.655/0001-01;ELO-3J68;Não;Sim;Não;2025-04-22;2025-04-22;2018;Executivo;19;19;Q - Cadeira de transbordo;Micro-ônibus
SABADINI TRANSPORTE E TURISMO EIRELI;18.551.756/0001-94;ELU-1110;Não;Sim;Não;2025-07-01;2024-12-24;2009;Convencional;46;46;Q - Cadeira de transbordo;Ônibus
SIX TURISMO E FRETAMENTO LTDA;53.652.788/0001-87;ELW-3D54;Não;Sim;Não;2025-06-04;2024-12-22;2011;Executivo;42;42;H - Cadeira de transbordo.;Ônibus
STILL TRANSPORTES EIRELI;12.768.493/0001-93;ELW-3D74;Não;Sim;Não;2025-05-07;2025-04-03;2011;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
SUSSANTUR TRANSPORTE E TURISMO E FRETAMENTO LTDA;44.590.404/0001-58;ELW-4720;Não;Sim;Não;2025-07-08;2025-01-10;2010;Executivo;50;50;H - Cadeira de transbordo.;Ônibus
SUSSANTUR TRANSPORTE E TURISMO E FRETAMENTO LTDA;44.590.404/0001-58;ELW-4721;Não;Sim;Não;2025-01-15;2025-01-10;2010;Executivo;50;50;H - Cadeira de transbordo.;Ônibus
SUSSANTUR TRANSPORTE E TURISMO E FRETAMENTO LTDA;44.590.404/0001-58;ELW-4726;Não;Sim;Não;2025-01-12;2025-01-10;2010;Executivo;50;50;H - Cadeira de transbordo.;Ônibus
NOVA LIDERANCA RIO TURISMO LTDA;48.509.722/0001-00;ELW-4J29;Não;Sim;Não;2025-07-04;2025-01-11;2011;Convencional;46;46;H - Cadeira de transbordo.;Ônibus
MARCOS DE OLIVEIRA MASCARENHAS LTDA;53.129.472/0001-05;ELW-5A44;Não;Sim;Não;2025-06-28;2025-05-24;2011;Executivo;51;51;H - Cadeira de transbordo.;Ônibus
RONALDO EDER DE SOUZA & CIA LTDA;47.627.924/0001-86;ELW-7A88;Não;Sim;Não;2025-05-17;2025-05-08;2011;Executivo;26;26;Q - Cadeira de transbordo;Ônibus
SHIFT MOBILIDADE CORPORATIVA E AGENCIA LTDA;13.921.195/0001-54;ELW-8710;Não;Sim;Não;2025-03-11;2025-07-09;2013;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
CARAVELLAS TRANSPORTES E TURISMO LTDA;03.078.022/0001-62;EMA-1B59;Não;Sim;Não;2025-03-15;2025-04-07;2019;Executivo;28;28;E - Dispositivo de acesso instalado no veículo, interligando este com a plataforma.;Ônibus
N DA SILVA LOCACAO LTDA;14.568.597/0001-80;EMA-5558;Não;Sim;Não;2025-02-07;2025-01-09;2018;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
REAL PRISMA SANJOANENSE LTDA;04.807.679/0001-86;EMB-2C01;Não;Sim;Não;2025-04-08;2025-01-02;2002;Executivo;59;59;Q - Cadeira de transbordo;Ônibus
COMERCIO E TRANSPORTE CAPINZAL LTDA;00.068.575/0001-46;EMB-2C03;Não;Sim;Não;2025-06-02;2025-04-27;2002;Executivo;55;55;Q - Cadeira de transbordo;Ônibus
LUX BRASIL TRANSPORTE E TURISMO LTDA;29.316.300/0001-66;EMB-2C11;Não;Sim;Não;2025-06-07;2025-07-05;2002;Executivo;50;50;H - Cadeira de transbordo.;Ônibus
FM TOUR TRANSPORTES LTDA;26.219.251/0001-55;EMF-5I19;Não;Sim;Não;2025-01-25;2025-01-20;2018;Executivo;19;19;Sem Acessibilidade;Micro-ônibus
IMPACTUR AGENCIA DE VIAGENS LTDA;11.197.377/0001-07;EMU-1B42;Não;Sim;Não;2025-01-06;2024-12-26;2011;Executivo;56;56;H - Cadeira de transbordo.;Ônibus
LK TRANSPORTADORA TURISTICA LTDA;04.347.880/0001-28;EMU-5380;Não;Sim;Não;2025-02-23;2025-07-08;2010;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
LK TRANSPORTADORA TURISTICA LTDA;04.347.880/0001-28;EMU-5900;Não;Sim;Não;2025-01-30;2025-07-08;2011;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
TRANSPORTADORA TURISTICA NOVA BELGA LTDA - ME;03.415.124/0001-26;ENB-0519;Não;Sim;Não;2025-04-11;2025-01-04;2012;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
M.DE L.B.NOGUEIRA DIAS TURISMO LTDA;08.751.574/0001-03;ENB-2001;Não;Sim;Não;2025-02-05;2025-04-30;2008;Executivo;45;45;Q - Cadeira de transbordo;Ônibus
EDSON E EDNEI TRANSPORTES E LOCADORA DE VEICULOS LTDA;02.094.306/0001-80;END-2B37;Não;Sim;Não;2025-01-24;2025-07-07;2019;Executivo;50;50;H - Cadeira de transbordo.;Ônibus
WILSON JOSÉ DE SOUZA TRANSPORTES LTDA;02.744.033/0001-71;END-4G57;Não;Sim;Não;2025-03-01;2025-01-04;2020;Executivo;19;19;H - Cadeira de transbordo.;Micro-ônibus
TRANSPORTES & TURISMO AZOLIN LTDA;08.747.584/0001-75;ENG-5D33;Não;Sim;Não;2025-05-06;2025-01-03;2006;Executivo;51;51;Q - Cadeira de transbordo;Ônibus
TRANSARQUI LOCADORA DE VEICULOS LTDA;11.866.698/0001-49;ENN-6035;Não;Sim;Não;2025-06-10;2025-01-10;2018;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
KYOODAI JCCC TRANSPORTES, FRETAMENTO E LOCAÇÃO LTDA;09.011.161/0001-55;ENN-6A24;Não;Sim;Não;2025-05-20;2025-05-26;2023;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
DIBTUR BRASILIA LTDA;19.468.488/0001-04;ENS-7I16;Não;Sim;Não;2025-01-15;2025-01-21;2010;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
ARARATUR TRANSPORTE E TURISMO LTDA;01.309.569/0001-04;EOC-1B79;Não;Sim;Não;2025-02-28;2025-02-25;2019;Executivo;18;18;Sem Acessibilidade;Micro-ônibus
PIO VANS - LOCADORA DE VANS LTDA;08.903.699/0001-01;EOD-3C38;Não;Sim;Não;2025-04-12;2025-04-17;2018;Executivo;19;19;D - Passagem em nível da plataforma de embarque / desembarque do terminal (ou ponto de parada) para o salão de passageiros.;Micro-ônibus
TRANSDOMPER TURISMO E LOCACOES LTDA;33.661.070/0001-40;EOE-5H42;Não;Sim;Não;2025-04-04;2025-01-18;2011;Executivo;43;43;H - Cadeira de transbordo.;Ônibus
LOCABUS LOCACAO E TRANSPORTES LTDA.;08.762.553/0001-93;EOE-5J16;Não;Sim;Não;2025-07-03;2025-01-03;2011;Executivo;47;47;H - Cadeira de transbordo.;Ônibus
FABIANO TELES DE SOUSA SALES LOCACOES LTDA;09.334.219/0001-00;EOE-6B04;Não;Sim;Não;2025-04-05;2025-01-19;2013;Executivo;38;38;H - Cadeira de transbordo.;Ônibus
J E G TRANSPORTES LTDA;18.026.282/0001-61;EOF-2B28;Não;Sim;Não;2025-06-01;2025-06-04;2011;Executivo;28;28;H - Cadeira de transbordo.;Ônibus
IVANA APARECIDA LEMES CARVALHO LTDA;32.022.175/0001-96;EOF-5F22;Não;Sim;Não;2025-06-12;2025-06-15;2011;Executivo;45;45;H - Cadeira de transbordo.;Ônibus
AUTO VIACAO JARDINENSE LTDA;30.301.938/0001-02;EOF-6790;Não;Sim;Não;2025-04-23;2025-03-10;2010;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
VIACAO VALE DO TIETE LTDA;54.049.754/0001-65;EOF-6930;Não;Sim;Não;2025-05-16;2025-01-04;2013;Executivo;50;50;H - Cadeira de transbordo.;Ônibus
VALMOR JR TURISMO EIRELI;35.443.047/0001-04;EOF-6D24;Não;Sim;Não;2025-04-24;2025-04-25;2011;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
VIACAO VALE DO TIETE LTDA;54.049.754/0001-65;EOF-7836;Não;Sim;Não;2025-05-16;2025-01-04;2013;Executivo;50;50;H - Cadeira de transbordo.;Ônibus
AUTOVIACAO TRIPLO X LTDA;35.775.067/0001-82;EOF-7H98;Não;Sim;Não;2025-07-02;2025-01-01;2011;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
AVANTE AGENCIA DE VIAGENS, TRANSPORTE E LOCADORA LTDA;10.875.629/0001-39;EOF-7I00;Não;Sim;Não;2025-02-08;2024-12-29;2011;Executivo;46;46;D - Passagem em nível da plataforma de embarque / desembarque do terminal (ou ponto de parada) para o salão de passageiros.;Ônibus
AUTOVIACAO TRIPLO X LTDA;35.775.067/0001-82;EOF-7I01;Não;Sim;Não;2025-05-08;2025-01-01;2011;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
J. A. DA SILVA TRANSPORTES LTDA;20.843.337/0001-78;EOU-4G12;Não;Sim;Não;2025-01-26;2025-01-17;2021;Executivo;19;19;Sem Acessibilidade;Micro-ônibus
BIBI TRANSPORTE E TURISMO LTDA;34.929.391/0001-45;EOV-6B12;Não;Sim;Não;2025-06-25;2024-12-27;2022;Executivo;18;18;Sem Acessibilidade;Micro-ônibus
4S TRANSPORTES E TURISMO LTDA;21.803.876/0001-46;EOZ-0640;Não;Sim;Não;2024-12-22;2025-05-23;2018;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
SHIFT MOBILIDADE CORPORATIVA E AGENCIA LTDA;13.921.195/0001-54;EOZ-0D44;Não;Sim;Não;2025-06-04;2025-07-09;2024;Executivo;19;19;H - Cadeira de transbordo.;Micro-ônibus
EDVALDO ALVINO CIPRIANO TRANSPORTE RODOVIARIO DE PASSAGEIROS EIRELI;32.477.048/0001-81;EPC-2A03;Não;Sim;Não;2025-03-03;2025-03-19;2002;Executivo;56;56;Q - Cadeira de transbordo;Ônibus
FM TRANSPORTES E TURISMO LTDA;49.819.645/0001-40;EPC-4J77;Não;Sim;Não;2025-05-08;2025-04-19;2010;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
RODRIMA TRANSPORTES - EIRELI;18.589.076/0001-60;EPH-3J72;Não;Sim;Não;2025-01-17;2025-01-18;2010;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
COOPERATIVA DOS TRANSPORTES TURISTICOS E FRETAMENTO DA REGIAO SERRANA E LITORENEA;49.889.672/0001-99;EPO-3E04;Não;Sim;Não;2025-02-16;2025-05-18;2011;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
F&C TRANSPORTE DE PASSAGEIROS LTDA;29.735.144/0001-78;EPP-1A24;Não;Sim;Não;2025-04-08;2025-02-11;2021;Executivo;19;19;Q - Cadeira de transbordo;Micro-ônibus
TRANSPONEY TRANSPORTES E TURISMO LTDA;08.254.852/0001-17;EPU-1508;Não;Sim;Não;2025-04-09;2024-12-22;2012;Executivo;50;50;H - Cadeira de transbordo.;Ônibus
T4 TRANSPORTES E LOCACAO LTDA;12.957.839/0001-00;EPU-1E17;Não;Sim;Não;2025-03-21;2025-01-04;2011;Executivo;44;44;H - Cadeira de transbordo.;Ônibus
WF LIBOTI TRANSPORTES EIRELI;11.954.975/0001-75;EPU-4G74;Não;Sim;Não;2025-04-09;2025-05-01;2010;Executivo;43;43;Q - Cadeira de transbordo;Ônibus
FORTALEZA TURISMO EIRELI;29.783.391/0001-40;EPU-4J34;Não;Sim;Não;2025-01-23;2025-01-12;2010;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
SIX TURISMO E FRETAMENTO LTDA;53.652.788/0001-87;EPU-4J47;Não;Sim;Não;2025-04-04;2024-12-22;2010;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
TERRA RASGADA TRANSPORTES E TURISMO LTDA;34.772.816/0001-55;EPU-5J29;Não;Sim;Não;2025-04-12;2025-01-15;2011;Executivo;48;48;H - Cadeira de transbordo.;Ônibus
